SEASON,TEAM,AVG,OBP ,SLG,ERA,FIP,WHIP,GRADE
21,LEAGUE,0.26,0.346,0.383,4.45,4.45,1.46,
21,SSG,0.261,0.354,0.421,4.84,4.86,1.51,6
21,DOOSAN,0.268,0.35,0.39,4.26,4.27,1.48,2
21,LOTTE,0.278,0.356,0.399,5.38,4.75,1.57,8
21,NC,0.261,0.343,0.416,4.54,4.51,1.48,7
21,KT,0.265,0.356,0.382,3.68,3.74,1.32,1
21,KIWOOM,0.259,0.347,0.376,4.33,4.43,1.46,5
21,SAMSUNG,0.267,0.344,0.399,4.3,4.39,1.45,3
21,LG,0.25,0.342,0.368,3.59,3.95,1.31,4
21,HANHWA,0.237,0.334,0.341,4.68,4.7,1.49,10
21,KIA,0.248,0.337,0.336,4.91,4.91,1.5,9
20,LEAGUE,0.273,0.349,0.409,4.78,4.78,1.48,
20,NC,0.291,0.366,0.462,4.59,4.9,1.42,1
20,DOOSAN,0.293,0.365,0.427,4.4,4.24,1.46,2
20,LG,0.277,0.349,0.428,4.39,4.53,1.42,4
20,KT,0.284,0.358,0.436,4.56,4.74,1.46,3
20,KIWOOM,0.269,0.355,0.408,4.39,4.53,1.39,5
20,LOTTE,0.276,0.354,0.408,4.64,4.57,1.41,7
20,KIA,0.274,0.351,0.404,5.14,4.62,1.54,6
20,SAMSUNG,0.268,0.338,0.394,4.78,5.03,1.47,8
20,SK,0.25,0.329,0.383,5.6,5.48,1.6,9
20,HANHWA,0.245,0.32,0.338,5.29,5.15,1.59,10
19,LEAGUE,0.267,0.337,0.384,4.18,4.18,1.4,
19,KIWOOM,0.282,0.354,0.414,3.6,3.48,1.3,2
19,DOOSAN,0.278,0.355,0.389,3.51,3.85,1.28,1
19,NC,0.278,0.345,0.416,4.02,4.22,1.38,5
19,KT,0.277,0.344,0.385,4.31,4.51,1.4,6
19,LG,0.267,0.333,0.378,3.89,4.16,1.37,4
19,SK,0.262,0.334,0.384,3.5,3.81,1.3,3
19,SAMSUNG,0.256,0.329,0.389,4.64,4.6,1.46,8
19,KIA,0.264,0.336,0.369,4.66,4.23,1.48,7
19,HANHWA,0.256,0.324,0.362,4.82,4.55,1.52,9
19,LOTTE,0.25,0.316,0.358,4.87,4.39,1.54,10
18,LEAGUE,0.286,0.353,0.45,5.2,5.2,1.49,
18,DOOSAN,0.309,0.376,0.486,5,5.12,1.46,2
18,KIA,0.295,0.367,0.457,5.43,5.23,1.54,5
18,LOTTE,0.289,0.356,0.471,5.41,5.1,1.53,7
18,SK,0.281,0.356,0.473,4.69,5.13,1.4,1
18,NEXEN,0.288,0.355,0.448,5.08,5.22,1.45,4
18,LG,0.293,0.353,0.445,5.32,5.05,1.49,8
18,SAMSUNG,0.288,0.355,0.432,5.22,5.23,1.49,6
18,KT,0.275,0.34,0.456,5.37,5.31,1.56,9
18,HANHWA,0.275,0.341,0.422,4.95,5.04,1.47,3
18,NC,0.261,0.329,0.404,5.5,5.54,1.57,10
17,LEAGUE,0.286,0.353,0.438,4.98,4.98,1.48,
17,DOOSAN,0.294,0.369,0.459,4.38,4.77,1.45,2
17,KIA,0.302,0.37,0.469,4.82,4.73,1.51,1
17,NC,0.293,0.365,0.443,4.71,5.02,1.41,4
17,NEXEN,0.29,0.357,0.437,5.06,4.8,1.48,7
17,SK,0.271,0.341,0.465,5.03,5.13,1.51,5
17,LOTTE,0.285,0.356,0.433,4.57,4.91,1.43,3
17,HANHWA,0.287,0.351,0.435,5.3,5.25,1.51,8
17,SAMSUNG,0.279,0.34,0.428,5.9,5.5,1.63,9
17,LG,0.281,0.348,0.4,4.32,4.43,1.32,6
17,KT,0.276,0.332,0.41,5.78,5.32,1.56,10
16,LEAGUE,0.29,0.364,0.437,5.19,5.19,1.56,
16,DOOSAN,0.298,0.378,0.473,4.46,4.96,1.46,1
16,NC,0.291,0.375,0.45,4.49,4.79,1.42,2
16,NEXEN,0.293,0.368,0.44,4.96,5.11,1.5,3
16,SAMSUNG,0.293,0.367,0.439,5.64,5.69,1.58,9
16,LOTTE,0.288,0.37,0.422,5.63,5.36,1.64,8
16,KIA,0.286,0.358,0.452,4.99,5.03,1.58,5
16,LG,0.29,0.361,0.417,5.1,5.06,1.53,4
16,SK,0.291,0.356,0.454,4.94,5.23,1.5,6
16,HANHWA,0.289,0.362,0.431,5.76,5.44,1.67,7
16,KT,0.276,0.345,0.394,5.93,5.23,1.69,10
15,LEAGUE,0.28,0.357,0.43,4.89,4.89,1.49,
15,SAMSUNG,0.302,0.378,0.469,4.7,4.72,1.37,2
15,NEXEN,0.298,0.372,0.486,4.95,4.81,1.5,4
15,DOOSAN,0.29,0.37,0.435,5.03,4.86,1.53,1
15,NC,0.289,0.367,0.455,4.26,4.73,1.34,3
15,LOTTE,0.28,0.356,0.446,5.11,4.98,1.52,8
15,SK,0.272,0.349,0.41,4.73,4.68,1.46,5
15,KT,0.273,0.345,0.402,5.56,5.08,1.65,10
15,HANHWA,0.271,0.36,0.405,5.11,5.43,1.56,6
15,LG,0.269,0.339,0.399,4.64,4.53,1.44,9
15,KIA,0.251,0.326,0.392,4.8,5.07,1.53,7
